"STOCK"	"BID"	"ASK"	"LTP"	"VOLUME"	"TRENDVALUE"	"TIME"
"NQ"	6985.25	6985.75	6985.75	123683	1	01-NOV-18 08.33.43.734 AM
"NQ"	6985.25	6985.75	6985.5	123748	0	01-NOV-18 08.34.13.737 AM
"NQ"	6985.75	6986.25	6985.75	123786	-1	01-NOV-18 08.34.43.749 AM
"NQ"	6986	6986.75	6986.25	123941	-1	01-NOV-18 08.35.14.755 AM
"NQ"	6987	6987.25	6987.25	124115	1	01-NOV-18 08.35.43.768 AM
"NQ"	6986.75	6987.25	6987.25	124176	1	01-NOV-18 08.36.13.781 AM
"NQ"	6987	6987.75	6987	124317	-1	01-NOV-18 08.36.43.788 AM
"NQ"	6989.5	6989.75	6989.75	124513	1	01-NOV-18 08.37.13.754 AM
"NQ"	6988.5	6988.75	6988.75	124688	1	01-NOV-18 08.37.44.759 AM
"NQ"	6989.25	6989.75	6989.25	125071	-1	01-NOV-18 08.38.13.757 AM
"NQ"	6991.75	6992	6991.75	125477	-1	01-NOV-18 08.38.43.761 AM
"NQ"	6991.75	6992	6991.75	125613	-1	01-NOV-18 08.39.14.766 AM
"NQ"	6991	6991.5	6991.25	125858	0	01-NOV-18 08.39.43.764 AM
"NQ"	6990.25	6990.75	6990.5	126590	0	01-NOV-18 08.40.02.730 AM
"NQ"	6987.5	6988	6987.5	127253	-1	01-NOV-18 08.40.13.767 AM
"NQ"	6989.25	6989.75	6989.5	128944	0	01-NOV-18 08.40.43.771 AM
"NQ"	6995.25	6995.75	6995.75	131215	1	01-NOV-18 08.41.13.782 AM
"NQ"	7000.75	7001	7000.75	132807	-1	01-NOV-18 08.41.44.819 AM
"NQ"	6993.25	6993.75	6993.5	134186	0	01-NOV-18 08.42.15.971 AM
"NQ"	6996.25	6996.75	6996.5	135412	0	01-NOV-18 08.42.44.749 AM
"NQ"	6995	6995.5	6995.25	136236	0	01-NOV-18 08.43.14.752 AM
"NQ"	6997.25	6997.5	6997.5	137207	1	01-NOV-18 08.43.44.755 AM
"NQ"	6996.25	6996.75	6996.25	138655	-1	01-NOV-18 08.44.14.860 AM
"NQ"	6997.75	6998.75	6998.25	139560	0	01-NOV-18 08.44.44.758 AM
"NQ"	7000.25	7000.5	7000.25	140527	-1	01-NOV-18 08.45.14.750 AM
"NQ"	7000.75	7001	7000.5	141650	-1	01-NOV-18 08.45.44.741 AM
"NQ"	7003.25	7003.75	7003.5	142511	0	01-NOV-18 08.46.16.004 AM
"NQ"	7002.75	7003.25	7002.75	143337	-1	01-NOV-18 08.46.44.853 AM
"NQ"	7006	7006.5	7006.25	144219	0	01-NOV-18 08.47.15.788 AM
"NQ"	7011.25	7011.75	7011.75	145671	1	01-NOV-18 08.47.45.809 AM
"NQ"	7009.75	7010	7009.75	146636	-1	01-NOV-18 08.48.15.719 AM
"NQ"	7007.75	7008.25	7008	147410	0	01-NOV-18 08.48.45.724 AM
"NQ"	7007.25	7007.75	7007.5	148212	0	01-NOV-18 08.49.15.833 AM
"NQ"	7009.75	7010.25	7010	148945	0	01-NOV-18 08.49.45.794 AM
"NQ"	7007.5	7007.75	7007.75	149757	1	01-NOV-18 08.50.16.013 AM
"NQ"	7001	7001.5	7001	150497	-1	01-NOV-18 08.50.45.811 AM
"NQ"	6997.5	6997.75	6997.5	152003	-1	01-NOV-18 08.51.15.810 AM
"NQ"	7001.75	7002.25	7002.25	153314	1	01-NOV-18 08.51.45.817 AM
"NQ"	6999.25	6999.75	6999.5	154575	0	01-NOV-18 08.52.15.818 AM
"NQ"	6996	6996.5	6996.5	155525	1	01-NOV-18 08.52.45.745 AM
"NQ"	6990.5	6991	6990.75	156908	0	01-NOV-18 08.53.15.747 AM
"NQ"	6986	6986.5	6986.25	158530	0	01-NOV-18 08.53.45.753 AM
"NQ"	6988	6988.5	6988	159701	-1	01-NOV-18 08.54.15.746 AM
"NQ"	6986.5	6987	6986.75	160138	0	01-NOV-18 08.54.45.751 AM
"NQ"	6982.5	6982.75	6982.75	160718	1	01-NOV-18 08.55.15.752 AM
"NQ"	6979.25	6979.5	6979.25	162681	-1	01-NOV-18 08.55.46.061 AM
"NQ"	6980.75	6981	6981	164246	1	01-NOV-18 08.56.14.745 AM
"NQ"	6980.75	6981	6981	164303	1	01-NOV-18 08.56.15.741 AM
"NQ"	6964.25	6964.5	6964.25	167172	-1	01-NOV-18 08.56.45.735 AM
"NQ"	6962.75	6963	6962.5	168743	-1	01-NOV-18 08.57.16.745 AM
"NQ"	6962	6962.25	6962	170845	-1	01-NOV-18 08.57.46.728 AM
"NQ"	6962	6962.5	6962.5	171907	1	01-NOV-18 08.58.16.820 AM
"NQ"	6970	6970.25	6970.5	173263	1	01-NOV-18 08.58.46.804 AM
"NQ"	6953	6953.25	6953	175254	-1	01-NOV-18 08.59.12.792 AM
"NQ"	6953	6953.25	6953	175364	-1	01-NOV-18 08.59.14.795 AM
"NQ"	6949	6949.5	6949.25	175750	0	01-NOV-18 08.59.19.816 AM
"NQ"	6949	6949.5	6949.25	176003	0	01-NOV-18 08.59.20.819 AM
"NQ"	6959.25	6959.5	6959.25	178599	-1	01-NOV-18 08.59.50.810 AM
"NQ"	6950.75	6951.25	6950.75	179724	-1	01-NOV-18 09.00.08.768 AM
"NQ"	6945.25	6945.75	6945.5	180299	0	01-NOV-18 09.00.12.783 AM
"NQ"	6955	6956	6955.75	182484	1	01-NOV-18 09.00.43.213 AM
"NQ"	6966	6966.5	6966	184688	-1	01-NOV-18 09.01.12.817 AM
"NQ"	6970.75	6971	6971.25	186924	1	01-NOV-18 09.01.42.813 AM
"NQ"	6972	6972.5	6972.25	189004	0	01-NOV-18 09.02.12.814 AM
"NQ"	6974.75	6975.5	6975.25	189790	1	01-NOV-18 09.02.42.822 AM
"NQ"	6972	6972.25	6972.25	190810	1	01-NOV-18 09.03.12.723 AM
"NQ"	6984.5	6985	6984.5	193556	-1	01-NOV-18 09.03.42.818 AM
"NQ"	6987	6987.5	6987.25	194884	0	01-NOV-18 09.04.12.813 AM
"NQ"	6992.25	6992.75	6992.5	196658	0	01-NOV-18 09.04.43.814 AM
"NQ"	6988	6988.5	6988	197509	-1	01-NOV-18 09.05.13.817 AM
"NQ"	6992.75	6993.25	6993.25	198792	1	01-NOV-18 09.05.43.733 AM
"NQ"	6988.5	6989	6988.5	199498	-1	01-NOV-18 09.06.13.769 AM
"NQ"	6983.5	6983.75	6984	200419	1	01-NOV-18 09.06.43.765 AM
"NQ"	6981.5	6982	6982.25	201194	1	01-NOV-18 09.07.13.773 AM
"NQ"	6979.75	6980.25	6980	201819	0	01-NOV-18 09.07.43.766 AM
"NQ"	6975.75	6976	6975.75	202688	-1	01-NOV-18 09.08.13.826 AM
"NQ"	6968	6968.75	6968.5	203643	1	01-NOV-18 09.08.43.826 AM
"NQ"	6972.25	6973.5	6973	204464	1	01-NOV-18 09.09.13.834 AM
"NQ"	6967.75	6968.5	6968	204860	-1	01-NOV-18 09.09.43.744 AM
"NQ"	6961.25	6961.75	6961.25	205963	-1	01-NOV-18 09.10.14.840 AM
"NQ"	6959.25	6960	6960	207056	1	01-NOV-18 09.10.44.791 AM
"NQ"	6958.5	6959.25	6959	208409	1	01-NOV-18 09.11.13.799 AM
"NQ"	6955.75	6956.25	6956	209581	0	01-NOV-18 09.11.43.813 AM
"NQ"	6954.25	6955	6954.75	211039	1	01-NOV-18 09.12.13.830 AM
"NQ"	6964.25	6965	6964.5	212722	-1	01-NOV-18 09.12.43.771 AM
"NQ"	6964.25	6965.25	6964.5	213804	-1	01-NOV-18 09.13.14.761 AM
"NQ"	6961.25	6962	6961.5	214506	-1	01-NOV-18 09.13.44.767 AM
"NQ"	6960.75	6961.5	6960.75	215118	-1	01-NOV-18 09.14.14.755 AM
"NQ"	6955	6955.75	6955.5	215993	1	01-NOV-18 09.14.44.859 AM
"NQ"	6956.75	6957.25	6957.25	216947	1	01-NOV-18 09.15.14.865 AM
"NQ"	6955.5	6956	6955.5	217778	-1	01-NOV-18 09.15.44.830 AM
"NQ"	6956.25	6956.75	6956.25	218611	-1	01-NOV-18 09.16.14.834 AM
"NQ"	6951.75	6952.25	6952.25	219654	1	01-NOV-18 09.16.44.836 AM
"NQ"	6951.25	6951.75	6951	221169	-1	01-NOV-18 09.17.14.840 AM
"NQ"	6957.5	6958	6957.75	222438	0	01-NOV-18 09.17.44.856 AM
"NQ"	6953	6953.5	6953	223048	-1	01-NOV-18 09.18.14.863 AM
"NQ"	6944.5	6945	6944.75	223935	0	01-NOV-18 09.18.35.840 AM
"NQ"	6940.5	6941	6941	224599	1	01-NOV-18 09.18.39.866 AM
"NQ"	6938.5	6939.25	6938.75	225736	-1	01-NOV-18 09.18.56.809 AM
"NQ"	6938.75	6939.25	6939.25	225954	1	01-NOV-18 09.19.00.823 AM
"NQ"	6938.75	6939.25	6939.25	226077	1	01-NOV-18 09.19.01.825 AM
"NQ"	6956.5	6957.25	6957	228608	1	01-NOV-18 09.19.33.845 AM
"NQ"	6959	6959.75	6959.25	230395	-1	01-NOV-18 09.20.02.760 AM
"NQ"	6971	6971.5	6971.25	232151	0	01-NOV-18 09.20.33.777 AM
"NQ"	6979.75	6980.25	6979.75	233797	-1	01-NOV-18 09.21.03.801 AM
"NQ"	6977	6977.5	6976.75	235252	-1	01-NOV-18 09.21.33.839 AM
"NQ"	6985.5	6986	6985.75	237135	0	01-NOV-18 09.22.04.780 AM
"NQ"	6989.75	6990.5	6990.25	238671	1	01-NOV-18 09.22.33.766 AM
"NQ"	6991	6991.5	6991.25	240212	0	01-NOV-18 09.23.03.773 AM
"NQ"	6987	6987.5	6987.25	241209	0	01-NOV-18 09.23.33.788 AM
"NQ"	6983.5	6984	6983.5	242282	-1	01-NOV-18 09.24.03.765 AM
"NQ"	6980.25	6980.75	6980.25	243042	-1	01-NOV-18 09.24.33.826 AM
"NQ"	6976.25	6977	6976.5	244012	-1	01-NOV-18 09.25.03.793 AM
"NQ"	6986.5	6987	6986.75	245132	0	01-NOV-18 09.25.33.826 AM
"NQ"	6986.25	6987	6986.75	245989	1	01-NOV-18 09.26.03.817 AM
"NQ"	6978.5	6979	6979	246894	1	01-NOV-18 09.26.33.830 AM
"NQ"	6982.5	6983.25	6983	247416	1	01-NOV-18 09.27.03.829 AM
"NQ"	6985	6985.5	6985.25	247955	0	01-NOV-18 09.27.34.789 AM
"NQ"	6984.75	6985.25	6985	248575	0	01-NOV-18 09.28.04.840 AM
"NQ"	6981.5	6982	6981.75	249200	0	01-NOV-18 09.28.34.790 AM
"NQ"	6981.25	6981.5	6981.25	249597	-1	01-NOV-18 09.29.04.791 AM
"NQ"	6970	6970.5	6970.25	250864	0	01-NOV-18 09.29.34.790 AM
"NQ"	6971	6971.25	6971.25	251822	1	01-NOV-18 09.30.04.848 AM
"NQ"	6968.25	6968.75	6968	252789	-1	01-NOV-18 09.30.34.860 AM
"NQ"	6962.75	6963	6963	254276	1	01-NOV-18 09.31.04.862 AM
"NQ"	6963.75	6964.25	6964	255022	0	01-NOV-18 09.31.34.865 AM
"NQ"	6968.5	6968.75	6968.5	255459	-1	01-NOV-18 09.32.04.880 AM
"NQ"	6965	6965.5	6965.25	256132	0	01-NOV-18 09.32.34.781 AM
"NQ"	6965.5	6966.25	6965.75	256567	-1	01-NOV-18 09.33.04.805 AM
"NQ"	6965.25	6965.75	6965.5	257179	0	01-NOV-18 09.33.34.794 AM
"NQ"	6965.5	6966.25	6966	257849	1	01-NOV-18 09.34.04.816 AM
"NQ"	6979	6979.5	6979	258766	-1	01-NOV-18 09.34.34.841 AM
"NQ"	6980	6980.5	6980.5	259540	1	01-NOV-18 09.35.04.846 AM
"NQ"	6981.5	6981.75	6981.5	260165	-1	01-NOV-18 09.35.34.842 AM
"NQ"	6984.75	6985.25	6985	261304	0	01-NOV-18 09.36.04.846 AM
"NQ"	6986.5	6987	6986.75	262157	0	01-NOV-18 09.36.34.831 AM
"NQ"	6982.5	6982.75	6983	262853	1	01-NOV-18 09.37.04.875 AM
"NQ"	6977.5	6978	6977.75	263393	0	01-NOV-18 09.37.34.809 AM
"NQ"	6979.25	6980	6979.25	263782	-1	01-NOV-18 09.38.04.770 AM
"NQ"	6985	6985.5	6985.25	264180	0	01-NOV-18 09.38.34.863 AM
"NQ"	6980.25	6980.75	6980.25	264718	-1	01-NOV-18 09.39.05.769 AM
"NQ"	6985.5	6986	6985.75	265144	0	01-NOV-18 09.39.35.778 AM
"NQ"	6986.5	6987	6986.25	265695	-1	01-NOV-18 09.40.05.845 AM
"NQ"	6986.5	6986.75	6986.75	266505	1	01-NOV-18 09.40.35.838 AM
"NQ"	6981.5	6982	6981.5	267486	-1	01-NOV-18 09.41.05.843 AM
"NQ"	6983.5	6983.75	6983.25	268383	-1	01-NOV-18 09.41.35.851 AM
"NQ"	6988	6988.5	6988	269202	-1	01-NOV-18 09.42.05.851 AM
"NQ"	6984.25	6984.5	6984.5	269813	1	01-NOV-18 09.42.35.857 AM
"NQ"	6991	6991.5	6991	271432	-1	01-NOV-18 09.43.05.755 AM
"NQ"	7006.25	7006.75	7006.5	273556	0	01-NOV-18 09.43.35.851 AM
"NQ"	7009.75	7010.25	7010.25	275850	1	01-NOV-18 09.44.05.853 AM
"NQ"	7008.5	7009	7008.5	276829	-1	01-NOV-18 09.44.35.857 AM
"NQ"	7006	7006.25	7006.25	277566	1	01-NOV-18 09.45.05.776 AM
"NQ"	7004.75	7005.25	7005.25	278217	1	01-NOV-18 09.45.35.834 AM
"NQ"	7006.5	7006.75	7006.5	278821	-1	01-NOV-18 09.46.05.846 AM
"NQ"	7011.25	7011.75	7011.5	279793	0	01-NOV-18 09.46.35.798 AM
"NQ"	7017.25	7017.5	7017.25	280337	-1	01-NOV-18 09.46.44.834 AM
"NQ"	7017.25	7017.5	7017.25	280834	-1	01-NOV-18 09.46.46.043 AM
"NQ"	7010.75	7011	7010.75	282291	-1	01-NOV-18 09.47.15.821 AM
"NQ"	7009.5	7010	7009.5	283085	-1	01-NOV-18 09.47.45.817 AM
"NQ"	7013.5	7014	7014	283985	1	01-NOV-18 09.48.15.769 AM
"NQ"	7010.75	7011.25	7010.75	284516	-1	01-NOV-18 09.48.45.775 AM
"NQ"	7010.75	7011.25	7011	284939	0	01-NOV-18 09.49.15.772 AM
"NQ"	7009	7009.5	7009.25	285585	0	01-NOV-18 09.49.45.864 AM
"NQ"	7011.75	7012.25	7012	286168	0	01-NOV-18 09.50.16.867 AM
"NQ"	7005.25	7005.5	7005.25	286942	-1	01-NOV-18 09.50.46.784 AM
"NQ"	7003.25	7003.75	7003.5	287765	0	01-NOV-18 09.51.16.815 AM
"NQ"	7002.75	7003.25	7002.75	288599	-1	01-NOV-18 09.51.46.786 AM
"NQ"	7000.75	7001.25	7000.75	289041	-1	01-NOV-18 09.52.16.794 AM
"NQ"	7001.5	7002	7001.5	289368	-1	01-NOV-18 09.52.46.796 AM
"NQ"	7002	7002.5	7002.5	289928	1	01-NOV-18 09.53.16.870 AM
"NQ"	7005.25	7005.5	7005.5	290426	1	01-NOV-18 09.53.46.847 AM
"NQ"	7005.75	7006.5	7006.5	291127	1	01-NOV-18 09.54.16.861 AM
"NQ"	7008.75	7009.25	7009	292127	0	01-NOV-18 09.54.46.774 AM
"NQ"	7013.25	7013.75	7013	293242	-1	01-NOV-18 09.55.16.852 AM
"NQ"	7011	7011.75	7011	293748	-1	01-NOV-18 09.55.46.764 AM
"NQ"	7015.75	7016.25	7016	294260	0	01-NOV-18 09.56.16.785 AM
"NQ"	7015.25	7015.75	7015.25	294823	-1	01-NOV-18 09.56.46.796 AM
"NQ"	7012.75	7013.25	7013	295731	0	01-NOV-18 09.57.16.800 AM
"NQ"	7013.75	7014.25	7014	296218	0	01-NOV-18 09.57.46.775 AM
"NQ"	7011.75	7012.5	7012	296518	-1	01-NOV-18 09.58.16.878 AM
"NQ"	7006.75	7007.25	7007.25	297222	1	01-NOV-18 09.58.46.780 AM
"NQ"	7009.5	7010	7010	297588	1	01-NOV-18 09.59.16.786 AM
"NQ"	7012.25	7012.75	7012.5	298056	0	01-NOV-18 09.59.46.790 AM
"NQ"	7014	7014.5	7014.25	298484	0	01-NOV-18 10.00.16.878 AM
"NQ"	7017.25	7017.75	7017.75	299235	1	01-NOV-18 10.00.32.836 AM
"NQ"	7017.25	7017.75	7017.75	299503	1	01-NOV-18 10.00.33.839 AM
"NQ"	7019	7019.25	7019	300117	-1	01-NOV-18 10.01.02.868 AM
"NQ"	7018.75	7019.25	7018.75	300767	-1	01-NOV-18 10.01.32.873 AM
"NQ"	7011.75	7012.25	7012	301582	0	01-NOV-18 10.02.02.781 AM
"NQ"	7017	7017.5	7017.25	302631	0	01-NOV-18 10.02.32.790 AM
"NQ"	7015.75	7016.25	7016	302960	0	01-NOV-18 10.03.02.830 AM
"NQ"	7012.5	7013	7013	303542	1	01-NOV-18 10.03.32.844 AM
"NQ"	7009.25	7009.75	7009.25	304386	-1	01-NOV-18 10.04.02.851 AM
"NQ"	7011	7011.5	7011.25	305078	0	01-NOV-18 10.04.32.860 AM
"NQ"	7006.5	7007	7006.5	305651	-1	01-NOV-18 10.05.02.829 AM
"NQ"	7002.75	7003.25	7003.25	306697	1	01-NOV-18 10.05.32.839 AM
"NQ"	6999.25	6999.75	6999.25	307211	-1	01-NOV-18 10.06.03.815 AM
"NQ"	6999.25	6999.75	6999.25	308066	-1	01-NOV-18 10.06.33.827 AM
"NQ"	7001.25	7001.75	7001.5	308751	0	01-NOV-18 10.07.03.840 AM
"NQ"	7002	7002.5	7002	309399	-1	01-NOV-18 10.07.33.857 AM
"NQ"	7006	7006.5	7006.25	309671	0	01-NOV-18 10.08.03.776 AM
"NQ"	7005.25	7005.5	7005	310184	-1	01-NOV-18 10.08.33.790 AM
"NQ"	7006.75	7007.25	7007.25	310726	1	01-NOV-18 10.09.03.801 AM
"NQ"	7007	7007.5	7007.25	311097	0	01-NOV-18 10.09.33.807 AM
"NQ"	7013	7013.5	7013.5	312246	1	01-NOV-18 10.10.03.817 AM
"NQ"	7015.75	7016.25	7016.25	312966	1	01-NOV-18 10.10.33.822 AM
"NQ"	7015.25	7015.75	7015.5	313552	0	01-NOV-18 10.11.03.830 AM
"NQ"	7006	7006.5	7006.25	314226	0	01-NOV-18 10.11.33.838 AM
"NQ"	7007	7007.5	7007.25	315000	0	01-NOV-18 10.12.03.866 AM
"NQ"	7005	7005.5	7005	315531	-1	01-NOV-18 10.12.33.837 AM
"NQ"	7007.75	7008	7008	315973	1	01-NOV-18 10.13.03.796 AM
"NQ"	6998.5	6999	6998.5	317211	-1	01-NOV-18 10.13.33.819 AM
"NQ"	7000.75	7001.25	7001	317799	0	01-NOV-18 10.14.03.872 AM
"NQ"	7001.75	7002.25	7002.25	318555	1	01-NOV-18 10.14.33.879 AM
"NQ"	7005.5	7006	7005.75	319059	0	01-NOV-18 10.15.03.795 AM
"NQ"	7013.5	7014.25	7014	319648	1	01-NOV-18 10.15.33.803 AM
"NQ"	7013	7013.25	7013.5	320198	1	01-NOV-18 10.16.03.847 AM
"NQ"	7015.5	7016	7015.5	320915	-1	01-NOV-18 10.16.33.852 AM
"NQ"	7011.25	7011.75	7011.25	321301	-1	01-NOV-18 10.17.04.856 AM
"NQ"	7009.25	7009.75	7009.5	321760	0	01-NOV-18 10.17.34.871 AM
"NQ"	7007.5	7008	7007.5	322398	-1	01-NOV-18 10.18.04.875 AM
"NQ"	7011	7011.5	7011.5	322940	1	01-NOV-18 10.18.34.817 AM
"NQ"	7008.5	7009	7008.75	323451	0	01-NOV-18 10.19.04.819 AM
"NQ"	7005.25	7005.75	7005.5	323909	0	01-NOV-18 10.19.34.836 AM
"NQ"	7005.75	7006.25	7005.75	324655	-1	01-NOV-18 10.20.04.848 AM
"NQ"	7007.5	7008	7007.5	324970	-1	01-NOV-18 10.20.34.868 AM
"NQ"	7008	7008.25	7008	325438	-1	01-NOV-18 10.21.04.877 AM
"NQ"	7011.75	7012.5	7012.25	325885	1	01-NOV-18 10.21.34.891 AM
"NQ"	7013	7013.75	7013.5	326220	1	01-NOV-18 10.22.04.905 AM
"NQ"	7012.25	7012.75	7012.25	326868	-1	01-NOV-18 10.22.34.822 AM
"NQ"	7011.25	7011.75	7011.5	327580	0	01-NOV-18 10.23.04.822 AM
"NQ"	7020.5	7021	7021	328782	1	01-NOV-18 10.23.21.887 AM
"NQ"	7020.5	7021	7021	329153	1	01-NOV-18 10.23.22.891 AM
"NQ"	7023.25	7023.75	7024	329565	1	01-NOV-18 10.23.31.822 AM
"NQ"	7023.25	7023.75	7024	329676	1	01-NOV-18 10.23.32.825 AM
"NQ"	7019.75	7020	7020.5	330477	1	01-NOV-18 10.24.02.826 AM
"NQ"	7023	7023.25	7023.25	331572	1	01-NOV-18 10.24.32.839 AM
"NQ"	7020.25	7020.75	7020.5	331999	0	01-NOV-18 10.25.02.842 AM
"NQ"	7018	7018.25	7018	332562	-1	01-NOV-18 10.25.32.846 AM
"NQ"	7022	7022.5	7022	333106	-1	01-NOV-18 10.26.02.807 AM
"NQ"	7021	7021.5	7021.25	333428	0	01-NOV-18 10.26.32.853 AM
"NQ"	7019	7019.25	7019.25	334248	1	01-NOV-18 10.27.02.820 AM
"NQ"	7013.5	7014	7013.75	335653	0	01-NOV-18 10.27.32.820 AM
"NQ"	7021.75	7022.25	7021.5	336159	-1	01-NOV-18 10.28.02.821 AM
"NQ"	7024	7024.5	7024.25	336852	0	01-NOV-18 10.28.32.825 AM
"NQ"	7025.25	7025.75	7025.75	337008	1	01-NOV-18 10.28.36.839 AM
"NQ"	7025.25	7025.75	7025.75	337164	1	01-NOV-18 10.28.37.843 AM
"NQ"	7029	7029.5	7029.5	337394	1	01-NOV-18 10.28.44.868 AM
"NQ"	7029	7029.5	7029.5	337493	1	01-NOV-18 10.28.45.872 AM
"NQ"	7027.25	7027.75	7027.5	338033	0	01-NOV-18 10.29.14.878 AM
"NQ"	7027.25	7027.75	7027.5	338108	0	01-NOV-18 10.29.18.890 AM
"NQ"	7030	7030.25	7030.25	338251	1	01-NOV-18 10.29.20.897 AM
"NQ"	7028.5	7028.75	7028.75	338737	1	01-NOV-18 10.29.50.808 AM
"NQ"	7029.25	7029.5	7029.25	339042	-1	01-NOV-18 10.30.08.880 AM
"NQ"	7029.5	7030	7029.75	339065	0	01-NOV-18 10.30.09.884 AM
"NQ"	7028.25	7028.5	7028.75	339621	1	01-NOV-18 10.30.40.906 AM
"NQ"	7026	7026.5	7026	340009	-1	01-NOV-18 10.31.10.816 AM
"NQ"	7025	7025.5	7025	340453	-1	01-NOV-18 10.31.41.928 AM
"NQ"	7024	7024.25	7024.25	341045	1	01-NOV-18 10.32.11.846 AM
"NQ"	7026.5	7026.75	7026.75	341510	1	01-NOV-18 10.32.41.950 AM
"NQ"	7027.75	7028	7028	342052	1	01-NOV-18 10.33.07.819 AM
"NQ"	7032	7032.25	7032.25	342511	1	01-NOV-18 10.33.09.926 AM
"NQ"	7032	7032.25	7032.25	343119	1	01-NOV-18 10.33.39.924 AM
"NQ"	7032.75	7033.25	7032.75	343274	-1	01-NOV-18 10.33.50.860 AM
"NQ"	7032.75	7033.25	7032.75	343702	-1	01-NOV-18 10.33.52.867 AM
"NQ"	7034.25	7034.75	7034.5	344412	0	01-NOV-18 10.34.23.925 AM
"NQ"	7034.5	7035	7034.75	344732	0	01-NOV-18 10.34.53.881 AM
"NQ"	7034.75	7035.25	7035	345192	0	01-NOV-18 10.35.23.890 AM
"NQ"	7036.25	7036.75	7036.5	345422	0	01-NOV-18 10.35.40.852 AM
"NQ"	7033.5	7034	7033.75	345926	0	01-NOV-18 10.36.11.806 AM
"NQ"	7029.25	7029.75	7029.5	346653	0	01-NOV-18 10.36.41.894 AM
